Country Name,Continent,OECD,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Albania,Europe,F,13.5,22.70000076,13.39999962,12.69999981,12.60000038,12.5,12.39999962,13.5,13,13.80000019,14.19999981,14,13.89999962,16,16.10000038
United Arab Emirates,Asia,F,2.299999952,3.200000048,3.200000048,2.700000048,3.099999905,3.099999905,3.299999952,3.400000095,4,4.199999809,4.199999809,4.099999905,4,3.799999952,3.599999905
Argentina,South America,F,15,18.29999924,17.89999962,16.10000038,12.60000038,10.60000038,10.10000038,8.5,7.800000191,8.600000381,7.699999809,7.199999809,7.199999809,7.099999905,8.199999809
Armenia,Asia,F,18.89999962,35.90000153,27.79999924,28.60000038,33.59999847,27.79999924,28.60000038,28.39999962,16.39999962,18.70000076,19,18.39999962,17.29999924,16.20000076,17.10000038
Australia,Australia,T,6.300000191,6.800000191,6.400000095,5.900000095,5.400000095,5,4.800000191,4.400000095,4.199999809,5.599999905,5.199999809,5.099999905,5.199999809,5.699999809,6
Austria,Europe,T,3.5,3.599999905,4,4.300000191,4.900000095,5.199999809,4.699999809,4.400000095,3.799999952,4.800000191,4.400000095,4.099999905,4.300000191,4.900000095,5
Azerbaijan,Europe,F,11.80000019,10.89999962,10,9.199999809,8,7.300000191,6.599999905,6.300000191,5.900000095,5.699999809,5.599999905,5.400000095,5.199999809,5,5.199999809
Burundi,Africa,F,7.300000191,7.300000191,7.300000191,7.300000191,7.300000191,7.300000191,7.199999809,7.199999809,7.199999809,7.099999905,7.099999905,7.099999905,7,7,6.900000095
Belgium,Europe,T,6.599999905,6.199999809,7.5,8.199999809,8.399999619,8.399999619,8.199999809,7.5,7,7.900000095,8.300000191,7.099999905,7.5,8.399999619,8.5
Benin,Africa,F,0.800000012,0.699999988,0.699999988,0.899999976,1.299999952,1.299999952,1.100000024,1.100000024,1.100000024,1.200000048,1,1,1,1,1
Burkina Faso,Africa,F,3,2.299999952,3,2.799999952,2.799999952,2.700000048,2.299999952,3.299999952,3.299999952,3.299999952,3.299999952,3.299999952,3.299999952,3.299999952,3.099999905
Bangladesh,Asia,F,3.299999952,3.400000095,3.400000095,4.300000191,4.5,4.300000191,4.199999809,4.300000191,4.400000095,5,4.5,4.5,4.5,4.5,4.300000191
Bulgaria,Europe,F,16.20000076,19.89999962,18.10000038,13.69999981,12,10.10000038,8.899999619,6.900000095,5.599999905,6.800000191,10.19999981,11.30000019,12.30000019,12.89999962,11.60000038
Bahrain,Asia,F,4.5,4.199999809,4,4.099999905,4.599999905,4.400000095,4.099999905,5.599999905,3.700000048,4,3.599999905,4,3.700000048,3.700000048,3.900000095
"Bahamas, The",North America,F,7.199999809,6.900000095,9,10.80000019,10.30000019,10.19999981,7.599999905,7.900000095,8.699999809,14.19999981,14.69999981,13.69999981,14,16.20000076,15.39999962
Bosnia and Herzegovina,Europe,F,25.20000076,27.60000038,24.60000038,26,28.29999924,26,31.79999924,29.70000076,23.89999962,24.10000038,27.20000076,27.60000038,28.10000038,27.39999962,27.89999962
Belarus,Europe,F,6.5,6.5,6.599999905,6.5,6.5,6.400000095,6.400000095,6.300000191,6.199999809,6.099999905,6.199999809,6.099999905,5.900000095,6,5.900000095
Belize,North America,F,10.89999962,9.100000381,10,10.30000019,10.5,11,9.399999619,8.5,8.199999809,11.19999981,10.80000019,12.30000019,14.39999962,11.69999981,11.5
Bolivia,South America,F,4.800000191,5.400000095,5.400000095,5.400000095,4.300000191,5.400000095,5.300000191,5.199999809,2.900000095,3.400000095,3.299999952,2.700000048,2.700000048,2.599999905,2.700000048
Brazil,South America,F,9.5,9.300000191,9.100000381,9.699999809,8.899999619,9.300000191,8.399999619,8.100000381,7.099999905,8.300000191,7.900000095,6.699999809,6.099999905,6.5,6.800000191
Barbados,North America,F,9.300000191,9.800000191,10.30000019,11,9.800000191,9.100000381,8.699999809,7.400000095,8.100000381,10,10.80000019,11.19999981,11.60000038,11.60000038,12
Brunei Darussalam,Asia,F,4.099999905,3.900000095,3.900000095,4,3.400000095,3.400000095,3.299999952,3.299999952,3.299999952,3.5,3.700000048,3.700000048,3.799999952,3.799999952,3.799999952
Bhutan,Asia,F,1.700000048,1.899999976,1.899999976,1.799999952,2.5,3.099999905,3.099999905,3.700000048,3.799999952,4,3.299999952,3.099999905,2.099999905,2.900000095,2.799999952
Botswana,Africa,F,22.10000038,23.20000076,20.20000076,23.79999924,22.89999962,22,17.60000038,18.5,21.89999962,18.39999962,17.89999962,17.79999924,17.70000076,17.60000038,18.20000076
Central African Republic,Africa,F,7,7,7,7.099999905,7,7,6.900000095,6.900000095,7,6.900000095,6.900000095,6.900000095,6.900000095,7.400000095,7.400000095
Canada,North America,T,6.800000191,7.199999809,7.699999809,7.599999905,7.199999809,6.699999809,6.300000191,6,6.099999905,8.300000191,8,7.400000095,7.199999809,7.099999905,6.900000095
Switzerland,Europe,T,2.700000048,2.5,2.900000095,4.099999905,4.300000191,4.400000095,4,3.599999905,3.400000095,4.099999905,4.5,4,4.199999809,4.400000095,4.5
Chile,South America,T,9.199999809,9.100000381,8.899999619,8.5,8.800000191,8,7.699999809,7.099999905,7.800000191,9.699999809,8.100000381,7.099999905,6.400000095,6,6.400000095
China,Asia,F,4.5,4.5,4.400000095,4.300000191,4.300000191,4.099999905,4,3.799999952,4.400000095,4.400000095,4.199999809,4.300000191,4.5,4.599999905,4.699999809
Cote d'Ivoire,Africa,F,4.099999905,4.099999905,4.099999905,4.099999905,4.099999905,4.099999905,4.099999905,4.099999905,4.099999905,4.099999905,4.099999905,4.099999905,4.099999905,4.099999905,4
Cameroon,Africa,F,6.400000095,7.5,5.900000095,6,5.099999905,4.400000095,4.099999905,4.099999905,4.199999809,4.5,4.099999905,4.099999905,4.099999905,4.099999905,4.300000191
